stock_id,price,timestamp,stock_name,company_type,market_type
1,827,08:53:00.827224,日本株1,小,日
2,3022,08:53:00.828366,日本株2,中,日
3,3161,08:53:00.830109,日本株3,中,日
4,7771,08:53:00.830786,日本株4,中,日
5,1765,08:53:00.831185,日本株5,大,日
6,8293,08:53:00.831574,日本株6,大,日
7,6981,08:53:00.834349,日本株7,大,日
8,4923,08:53:00.835079,日本株8,大,日
9,929,08:53:00.836033,日本株9,大,日
10,5060,08:53:00.836872,日本株10,中,日
11,5448,08:53:00.837064,日本株11,中,日
12,5863,08:53:00.837317,日本株12,中,日
13,918,08:53:00.837562,日本株13,小,日
14,1998,08:53:00.837622,日本株14,中,日
15,1542,08:53:00.837668,日本株15,中,日
16,2362,08:53:00.837708,日本株16,中,日
17,8166,08:53:00.837798,日本株17,中,日
18,2906,08:53:00.838242,日本株18,中,日
19,2075,08:53:00.838437,日本株19,小,日
20,5334,08:53:00.838528,日本株20,大,日
21,6454,08:53:00.838588,日本株21,大,日
22,2107,08:53:00.838635,日本株22,大,日
23,9510,08:53:00.838680,日本株23,大,日
24,1217,08:53:00.838731,日本株24,小,日
25,4272,08:53:00.838915,日本株25,中,日
26,2035,08:53:00.838971,日本株26,大,日
27,1430,08:53:00.839013,日本株27,小,日
28,1250,08:53:00.839051,日本株28,大,日
29,2046,08:53:00.839086,日本株29,大,日
30,2009,08:53:00.839125,日本株30,中,日
31,1242,08:53:00.839161,日本株31,中,日
32,4227,08:53:00.839209,日本株32,中,日
33,6112,08:53:00.839287,日本株33,大,日
34,7614,08:53:00.840669,日本株34,大,日
35,1597,08:53:00.840882,日本株35,中,日
36,4014,08:53:00.840950,日本株36,中,日
37,7311,08:53:00.840989,日本株37,大,日
38,2339,08:53:00.841181,日本株38,中,日
39,644,08:53:00.841241,日本株39,大,日
40,4928,08:53:00.841286,日本株40,大,日
41,6944,08:53:00.841316,日本株41,大,日
42,5795,08:53:00.841342,日本株42,中,日
43,1476,08:53:00.841367,日本株43,大,日
44,1616,08:53:00.841392,日本株44,小,日
45,5148,08:53:00.841417,日本株45,小,日
46,1055,08:53:00.841442,日本株46,中,日
47,2253,08:53:00.841465,日本株47,中,日
48,2432,08:53:00.841490,日本株48,大,日
49,2426,08:53:00.841682,日本株49,中,日
50,722,08:53:00.841722,日本株50,小,日
51,882,08:53:00.841761,日本株51,小,日
52,1004,08:53:00.841787,日本株52,中,日
53,4301,08:53:00.841846,日本株53,大,日
54,2707,08:53:00.841870,日本株54,中,日
55,527,08:53:00.841907,日本株55,中,日
56,3770,08:53:00.841943,日本株56,中,日
57,3853,08:53:00.841976,日本株57,大,日
58,3942,08:53:00.842000,日本株58,中,日
59,9999,08:53:00.842027,日本株59,大,日
60,9999,08:53:00.842051,日本株60,大,日
61,4694,08:53:00.842075,日本株61,中,日
62,1775,08:53:00.842098,日本株62,小,日
63,4501,08:53:00.842124,日本株63,中,日
64,2426,08:53:00.842152,日本株64,大,日
65,7353,08:53:00.842728,日本株65,大,日
66,1599,08:53:00.842911,日本株66,大,日
67,679,08:53:00.842979,日本株67,小,日
68,5416,08:53:00.843027,日本株68,中,日
69,4035,08:53:00.843061,日本株69,中,日
70,1357,08:53:00.845479,日本株70,小,日
71,3553,08:53:00.846166,日本株71,中,日
72,7271,08:53:00.846246,日本株72,中,日
73,1194,08:53:00.846286,日本株73,中,日
74,4896,08:53:00.846315,日本株74,中,日
75,2395,08:53:00.846342,日本株75,中,日
76,4547,08:53:00.846403,日本株76,中,日
77,3360,08:53:00.846427,日本株77,大,日
78,8652,08:53:00.846448,日本株78,大,日
79,4741,08:53:00.846468,日本株79,中,日
80,6598,08:53:00.846573,日本株80,大,日
81,6757,08:53:00.846598,日本株81,小,日
82,5010,08:53:00.846621,日本株82,中,日
83,2571,08:53:00.846642,日本株83,小,日
84,4374,08:53:00.846901,日本株84,中,日
85,1164,08:53:00.846943,日本株85,小,日
86,1280,08:53:00.846977,日本株86,中,日
87,3463,08:53:00.847000,日本株87,中,日
88,1770,08:53:00.847021,日本株88,中,日
89,5400,08:53:00.847049,日本株89,中,日
90,2341,08:53:00.847070,日本株90,中,日
91,7244,08:53:00.847091,日本株91,大,日
92,2355,08:53:00.847111,日本株92,小,日
93,6868,08:53:00.847130,日本株93,中,日
94,1031,08:53:00.847152,日本株94,大,日
95,6098,08:53:00.847172,日本株95,大,日
96,9773,08:53:00.847192,日本株96,大,日
97,5172,08:53:00.847511,日本株97,小,日
98,9999,08:53:00.847656,日本株98,大,日
99,4719,08:53:00.847717,日本株99,中,日
100,5497,08:53:00.847748,日本株100,大,日
