stock_id,price,timestamp,stock_name,company_type,market_type
1,997,16:43:42.583048,日本株1,小,日
2,3907,16:43:42.583927,日本株2,中,日
3,3029,16:43:42.584648,日本株3,中,日
4,4343,16:43:42.584975,日本株4,中,日
5,2678,16:43:42.585613,日本株5,大,日
6,9999,16:43:42.585886,日本株6,大,日
7,9999,16:43:42.588147,日本株7,大,日
8,7781,16:43:42.588551,日本株8,大,日
9,1051,16:43:42.588805,日本株9,大,日
10,6232,16:43:42.594197,日本株10,中,日
11,3494,16:43:42.594338,日本株11,中,日
12,4530,16:43:42.594384,日本株12,中,日
13,1518,16:43:42.594417,日本株13,小,日
14,1489,16:43:42.594450,日本株14,中,日
15,1750,16:43:42.594819,日本株15,中,日
16,3368,16:43:42.595279,日本株16,中,日
17,3698,16:43:42.597397,日本株17,中,日
18,2420,16:43:42.597546,日本株18,中,日
19,3766,16:43:42.597597,日本株19,小,日
20,3566,16:43:42.597631,日本株20,大,日
21,9999,16:43:42.597660,日本株21,大,日
22,1668,16:43:42.597686,日本株22,大,日
23,5511,16:43:42.597711,日本株23,大,日
24,783,16:43:42.597739,日本株24,小,日
25,3024,16:43:42.597762,日本株25,中,日
26,3064,16:43:42.597789,日本株26,大,日
27,2415,16:43:42.597812,日本株27,小,日
28,1502,16:43:42.597838,日本株28,大,日
29,3889,16:43:42.597884,日本株29,大,日
30,1385,16:43:42.597913,日本株30,中,日
31,1478,16:43:42.597936,日本株31,中,日
32,2707,16:43:42.597970,日本株32,中,日
33,2466,16:43:42.597994,日本株33,大,日
34,6662,16:43:42.599005,日本株34,大,日
35,2108,16:43:42.599102,日本株35,中,日
36,2533,16:43:42.599511,日本株36,中,日
37,5278,16:43:42.599601,日本株37,大,日
38,2463,16:43:42.599648,日本株38,中,日
39,1071,16:43:42.599690,日本株39,大,日
40,4423,16:43:42.599723,米国株40,大,日
41,4186,16:43:42.599797,米国株41,大,米
42,6790,16:43:42.599827,米国株42,中,米
43,2841,16:43:42.599855,米国株43,大,米
44,1535,16:43:42.599885,米国株44,小,米
45,2293,16:43:42.599911,米国株45,小,米
46,796,16:43:42.599938,米国株46,中,米
47,1946,16:43:42.599965,米国株47,中,米
48,2972,16:43:42.599990,米国株48,大,米
49,2532,16:43:42.600017,米国株49,中,米
50,608,16:43:42.600043,米国株50,小,米
51,707,16:43:42.600073,米国株51,小,米
52,1568,16:43:42.600100,米国株52,中,米
53,2726,16:43:42.600128,米国株53,大,米
54,1977,16:43:42.600159,米国株54,中,米
55,946,16:43:42.600186,米国株55,中,米
56,4175,16:43:42.600212,米国株56,中,米
57,2884,16:43:42.600264,米国株57,大,米
58,2086,16:43:42.600299,米国株58,中,米
59,4627,16:43:42.600327,米国株59,大,米
60,4275,16:43:42.600353,米国株60,大,米
61,2980,16:43:42.600377,米国株61,中,米
62,2005,16:43:42.600404,米国株62,小,米
63,4080,16:43:42.600431,米国株63,中,米
64,1890,16:43:42.601124,米国株64,大,米
65,5249,16:43:42.601244,米国株65,大,米
66,1509,16:43:42.601359,米国株66,大,米
67,769,16:43:42.601400,米国株67,小,米
68,7759,16:43:42.601429,米国株68,中,米
69,3845,16:43:42.601457,米国株69,中,米
70,1270,16:43:42.601485,米国株70,小,米
71,2661,16:43:42.601513,欧州株71,中,欧
72,5648,16:43:42.601964,欧州株72,中,欧
73,1307,16:43:42.602056,欧州株73,中,欧
74,3850,16:43:42.602101,欧州株74,中,欧
75,3133,16:43:42.602146,欧州株75,中,欧
76,3244,16:43:42.602187,欧州株76,中,欧
77,3639,16:43:42.602220,欧州株77,大,欧
78,6017,16:43:42.602251,欧州株78,大,欧
79,4277,16:43:42.602282,欧州株79,中,欧
80,7103,16:43:42.602314,欧州株80,大,欧
81,2558,16:43:42.602342,欧州株81,小,欧
82,6767,16:43:42.602372,欧州株82,中,欧
83,2776,16:43:42.602746,欧州株83,小,欧
84,5026,16:43:42.602807,欧州株84,中,欧
85,1447,16:43:42.604456,欧州株85,小,欧
86,1855,16:43:42.604544,欧州株86,中,欧
87,2383,16:43:42.604577,欧州株87,中,欧
88,4301,16:43:42.604646,欧州株88,中,欧
89,3178,16:43:42.604669,欧州株89,中,欧
90,2697,16:43:42.604690,欧州株90,中,欧
91,4612,16:43:42.604709,欧州株91,大,欧
92,1963,16:43:42.604727,欧州株92,小,欧
93,8816,16:43:42.604745,欧州株93,中,欧
94,1367,16:43:42.604763,欧州株94,大,欧
95,6843,16:43:42.604908,欧州株95,大,欧
96,3520,16:43:42.604984,欧州株96,大,欧
97,3549,16:43:42.605025,欧州株97,小,欧
98,8912,16:43:42.605045,欧州株98,大,欧
99,8317,16:43:42.605064,欧州株99,中,欧
100,3216,16:43:42.605081,欧州株100,大,欧
